Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Country delight,Series C,25000000.0,Haryana,Country delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,Dairy startup,2020,2015,Iifl asset management
Quintype,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Content management,2020,2014,Iifl amc
Cars24,Series D,200000000.0,Haryana,Cars24 is an india-based platform for selling used cars.,Retail,2020,2015,Global car group
Astrogate labs,None,0.0,Bangalore,Astrogate labs provides high-quality products related to space infrastructure.,Spacetech,2020,2017,Venture catalysts
Power gummies,Seed,0.0,New delhi,Power gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Healthtech,2020,2018,Venture catalysts
Cityflo,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,Transportation,2020,2015,Anupam mittal
Algobulls,None,200000.0,Mumbai,Algobulls is a state-of-the-art trading platform where customers are provided with fully automated algorithmic trading,Trading platform,2020,2019,Venture catalysts
Credgenics,Series B,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by titan capital, helping fintech lenders and banks in their critical npa reduction",Fintech,2020,2018,Accel india
Inntot,None,0.0,Kerala,"Inntot technologies, is a technology driven company.",Tech company,2020,2014,Unicorn india ventures
Ensuredit,Series B,300000.0,Gurugram,Ensuredit enables and empowers end customers and insurance intermediaries with ai-based product platforms for transformational customer experience.,Fintech,2020,2019,Venture catalysts
Shipsy,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for supply chain industry,AI,2020,2015,Dtdc
Erpnext,None,1000000.0,Mumbai,"Erpnext is an open source, online erp solution which includes accounting, crm, inventory, purchasing, hr, support and a lot more.",Tech company,2020,2008,Rainmatter
Lightspeedai,None,0.0,Bangalore,Developer of an optoelectronic processor designed to accelerate ai computations.,Photonics startup,2020,2019,Yournest
Grip invest,Series B,0.0,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,Fintech,2020,2020,Gemba capital
Unacademy,None,0.0,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,Edtech,2020,2015,Dragoneer investment group
Yellow classes,Series B,1300000.0,Gurugram,New-age fun-learning platform for kids.,Edtech,2020,2020,India quotient
Plum,None,4100000.0,Bangalore,High quality health insurance and health benefits,Healthtech,2020,2019,Surge
Stage,None,1000000.0,Indore,Stage is an indian language content platform for artist-led entertainment.,Entertainment,2020,2019,Venture catalysts
Nykaa,None,0.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,Cosmetics,2020,2012,Alia bhatt
Kaagaz scanner,None,575000.0,None,Kaagaz scanner is the indian replacement to banned cam scanner app.,Scanning app,2020,2020,Pravega ventures
Nira,None,1000000.0,Bangalore,"Nira promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",Fintech,2020,2017,Techstars bangalore accelerator
Prolixr,Seed,0.0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,Skincare startup,2020,2018,Alfa ventures
Byju's,None,200000000.0,Bangalore,Byju's is an educational technology company that develops personalized learning programs for k-12 students.,Edtech,2020,2011,Owl ventures
Damensch,None,6000000.0,Bangalore,Damensch is a designer and seller of men's apparel.,E-commerce,2020,2018,Whiteboard capital
Country delight,Series C,25000000.0,Haryana,Country delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,Food and Beverages,2020,2015,Orios venture partners
Signalx,Seed,800000.0,Hyderabad,Signalx offers an artificial intelligence-powered saas platform,AI,2020,2018,9unicorns
Lancify,None,300000.0,Bangalore,Lancify is building the world's strongest young workforce,Edtech,2020,2018,Techstars
Krimanshi,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of indian cattle with better quality feed.,Technology,2020,2015,Rajasthan venture capital fund
Instoried,Series B,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,AI,2020,2018,Venture catalysts
Playerzpot,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",Gaming startup,2020,2015,None
Instamojo,None,0.0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",Fintech,2020,2012,Base
Turtlemint,None,30000000.0,Mumbai,Turtlemint has built indian personalized insurance platform,Healthtech,2020,2015,Nexus venture partners
Arata,Series B,1000000.0,New delhi,Arata is an e-commerce site for beauty products and cosmetics.,E-commerce,2020,2017,Dsg consumer partners
Mpl,None,5000000.0,Bangalore,Mobile premier league is a skill-based esports platform used to offer cash prizes while playing games.,Gaming startup,2020,2018,Pegasus tech ventures
True balance,None,28000000.0,Gurugram,True balance is a digital wallet that enables users to access utility bill payment and other financial products.,Fintech,2020,2014,Ibk capital
Thrive,Series B,0.0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",Foodtech,2020,2020,Whiteboard capital
Kitchens centre,Series B,0.0,New delhi,Kitchens centre offers turnkey solutions to cloud kitchens.,Proptech,2020,2019,Jonathan swanson
Prescribe,None,100000.0,Chennai,Provide online services to patients by leveraging whatsapp.,Healthtech,2020,2019,Titan capital
Nepra,Series C,18000000.0,Ahmedabad,Nepra resource management provides waste management solutions in india.,Cleantech,2020,2006,Asha impact
Infeedo,None,3200000.0,Gurugram,"Infeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Saas,2020,2013,Peyush bansal
Shilpa sciences,Series B,0.0,Bangalore,Shilps sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,Healthtech,2020,2014,Angellist india
Arzooo.com,None,0.0,Bangalore,"B2b retail tech platform transforming 300,000+ smes in electronics space with its flagship ""go store"" product",Tech startup,2020,2016,3lines
Mindtickle,Debt,100000000.0,Pune,Mindtickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,Saas platform,2020,2011,Canaan partners
Slice,Debt,5000000.0,Bangalore,Slice is a card for first-time credit card users. they are inventing the future of finance for young indians,Fintech,2020,2016,Better capital
Rapawalk,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,E-commerce,2020,2017,Sanjay ramakrishnan
Oga fit's,Series B,0.0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Fitness startup,2020,2017,9unicorns
Laval,Series B,0.0,Bangalore,"Laval cosmetics, affordable makeup for all ages",Cosmetics,2020,2016,Jazal group
Stride ventures,None,80000000.0,New delhi,Stride ventures is a venture capital firm in india which aims to invest in innovative startups across the country.,Venture capitalist,2020,2019,Small industries development bank of india
Blacksoil,None,10000000.0,Mumbai,Blacksoil advisory is an independent boutique advisory firm.,Fintech,2020,2016,None
Biocon,None,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",Healthcare,2020,1978,Goldman sachs
Clientjoy,Series B,800000.0,Gujarat,Client management software for modern agencies.,Saas,2020,2013,Letsventure
Xpressbees,None,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,E-commerce,2020,2015,Alibaba group
Galaxycard,Seed,0.0,Gurugram,Mobile based instant credit card. | easiest way to get a credit card. get one in 3 minutes,Fintech,2020,2017,India accelerator
Wellness forever,None,100000000.0,Mumbai,Wellness forever is the one-stop destination for wellness,Healthtech,2020,2008,Poonawalla
Mooofarm,Seed,500000.0,Gurugram,Mooofarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,Agritech,2020,2019,Navus ventures
Bitclass,Seed,2000000.0,Bangalore,Bitclass is a paas solution which helps teachers set up their independent live classes,Paas startup,2020,2020,Aet japan
Gonuts,Seed,400000.0,Mumbai,Personalised video shoutouts from favourite celebrity.,Entertainment,2020,2020,Sweta rau
Uolo,Seed,2000000.0,Bangalore,Uolo technology is founded by paranoid parents who want to make a difference to preschool experience.,Edtech,2020,2013,Rajul garg
Kirana king,Series B,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional grocery system.",Retail,2020,2014,Rajasthan venture capital fund
Jade forest,Seed,250000.0,New delhi,"Naturally the best from zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",Beverages,2020,,None
Ikure,None,0.0,Kolkata,Ikure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in india,Healthtech,2020,2010,Ratan tata
Frontrow,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",Edtech,2020,,Lightspeed
Reliance retail,None,10000000.0,Mumbai,Reliance retail ventures limited is a subsidiary company of reliance industries limited.,E-commerce,2020,2006,Abu dhabi investment authority
Tubbr,None,0.0,Frisco,World's first personal social network,Social media,2020,2019,Global ascent partners
Ather energy,Series D,35000000.0,Bangalore,Ather energy is a manufacturer of electric scooters.,Automobiles,2020,2013,Heromotocorp ltd and sachin bansal
Routematic,None,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of india inc.,Saas,2020,2007,Vamm ventures
Livfin,None,4700000.0,New delhi,Livfin is a non-banking financial company registered with the reserve bank of india (rbi),Fintech,2020,2017,Deg
Universal sportsbiz pvt ltd,None,0.0,Bangalore,A fashion startup based in bengaluru.,Fashion startup,2020,2012,Accel
Lattu kids,None,0.0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,Edtech,2020,2017,Mumbai angels network
Eggoz,Series B,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",Food and Beverages,2020,2016,Avana capital
Steradian semiconductors,None,0.0,Bangalore,Semiconductor company focused on cmos millimeter wave products for radar.,Deeptech,2020,2016,Endiya partners.
Charge+zone,Series B,3000000.0,Gujarat,"Charge+zone provides services in renewable energy solutions, product development, and software engineering company.",Ev startup,2020,2018,Mumbai angels
Stones2milestones,Seed,2000000.0,Gurugram,Stones2milestones is india (delhi) based edtech company,Edtech,2020,2008,Menterra venture advisors
Udacity,Debt,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",Edtech,2020,2011,Hercules capital
Ajnalens,Seed,1000000.0,Thane,"Ajnalens develops ar/vr wearables primarily for the defence, education and enterprise customers.",Ar/vr startup,2020,2014,Mohsin hani al bahrani
Gully network,Series B,1200000.0,Bangalore,Gully network is a tech-enabled network of mid-sized grocery stores.,E-commerce,2020,2019,Cp ventures
Turbohire,Seed,1000000.0,Hyderabad,Talent intelligence platform for enterprises that helps recruiters discover the right candidates for a job using a human-like ai,Recruitment startup,2020,2018,Kia ora ventures
Traya,Seed,0.0,Mumbai,Work with our customers closely to get their hair health sorted for long-term effective results,Healthtech,2020,,Kae capital
Charcoal eats,None,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",Qsr startup,2020,2015,Lokmat investments
Mitron tv,None,0.0,Bangalore,Mitron is a free short videoplatform for next generation,Video platform,2020,2020,9unicorns
Svami,None,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Food and Beverages,2020,2016,Niren shah
Dhurnia,None,100000.0,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,Edtech,2020,2018,Chandigarh angels network
Expertrons,None,0.0,Mumbai,Expertrons is an ai video bot platform created to help students and professionals prepare for interviews.,Edtech,2020,2019,Rohit chanana
Leena ai,None,8000000.0,New york,Leena ai offers a human resource management platform that transforms employee experience with conversational ai.,AI,2020,2015,Alan patricof
Bizlog,None,1000000.0,Bangalore,Bizlog value chain enables re-commerce and circular economy through unique reverse logistics engine.,Logistics,2020,2016,Ian fund
Tamasha.live,None,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",Gaming,2020,2020,9unicorns
Fedo,None,1000000.0,Bangalore,Artificial intelligence based credit score for health,AI,2020,2017,Aim smart city
Fabhotels,None,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. it aims to provide standardized services at economical budgets.,Hospitality,2020,2015,Rb investments pte. ltd
Freshokartz,Series B,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",Agritech,2020,2016,Rajasthan venture capital fund
Flexiloans,Debt,6000000.0,Mumbai,"An online lending platform started with an endeavour to solve the problem that smes face in accessing quick, flexible and adequate funds for growing their businesses.",Fintech,2020,2016,>vikram sud
Agrix,None,0.0,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",Agritech,2020,2020,Maple capital advisors
Bharatagri,Series B,0.0,Pune,A smart farming technology platform for indian farmers,Agritech,2020,2017,021 capital
Freshtohome,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,E-commerce,2020,2015,Ascent capital
Credable,None,4500000.0,Mumbai,Credable provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Fintech,2020,2017,Oaks asset management
Railofy,Seed,5000000.0,Mumbai,Railofy is a wl & rac protection that enables waitlisted passengers to reach their destination at the lowest possible price.,Transportation,2020,2019,Roots ventures
Finova capital,None,55000000.0,Jaipur,Finova capital is a non-banking financial company.,Fintech,2020,2016,Sequoia capital india
Teachmint,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Edtech,2020,2020,Lightspeed india
Peel-works,None,3000000.0,Mumbai,Peel-works is a tech and data analytics company specializing in e-commerce for corner stores.,E-commerce,2020,2010,Cesc ventures
Janani,Seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Fertility tech,2020,2020,9unicorns
Credgenics,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by titan capital, helping fintech lenders and banks in their critical npa reduction",Fintech,2020,2018,Accel
Finelistings,None,0.0,New delhi,A used luxury car marketplace,Luxury car startup,2020,2015,Justdial
Wellversed,Series B,0.0,New delhi,Wellversed health enables production of customised clinical food products specific to health requirements of a demography or an individual.,Healthcare,2020,2018,Klub works
Jumbotail,Series B,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in india through technology, data science and design.",E-commerce,2020,2015,Nexus venture partners and 23 high networth individuals (hnis)
Winzo,None,2000000.0,New delhi,Winzo is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,Gaming startup,2020,2018,Makers fund
Mcaffeine,Series B,5000000.0,Mumbai,"Mcaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",Cosmetics,2020,2015,Rpsg ventures
Pocket fm,Series A,5000000.0,Bangalore,Pocket fm is an audiobook & podcast app that brings you over 10k+ popular audiobooks.,Fm,2020,2018,Times group
Snackible,Seed,0.0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,Healthcare,2020,2015,Mumbai angels
Freshtohome,None,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,E-commerce,2020,2015,Ascent capital
Jumbotail,Series B,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in india,Retail,2020,2015,Nexus venture partners
Nykaa,None,0.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,E-commerce,2020,2012,Katrina kaif
Tagz foods,None,0.0,Bangalore,Tagz foods is a supplier of snacks and food products.,Food and Beverages,2020,2019,Exfinity venture partners
Genius teacher,None,2000000.0,Mumbai,"Genius teacher creates engaging educational content, delivers fun learning experience to the students",Edtech,2020,2016,Sandeep tandon
Krimanshi feeds,None,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of indian cattle with better quality feed.,Nutrition sector,2020,2015,Rajasthan venture capital fund
Origo,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,Agritech,2020,2010,Northern arc capital
Getvantage,Seed,5000000.0,Mumbai,Getvantage is india and southeast asia's first fintech enabled revenue-based financing platform.,Fintech,2020,2019,Samyakth capital
Betterplace,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,Tech platform,2020,2015,Jungle ventures
Biddano,Series B,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,Healthcare,2020,2016,Windrose capital
Invideo,Series A,15000000.0,Mumbai,Invideo enables you to transform your content into great videos.,Video,2020,2017,Base partners
Arzooo.com,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",Retail tech,2020,2016,3lines
Hubilo,Seed,4500000.0,San francisco,World’s smartest virtual event platform that brings experience & intelligence together,Tech company,2020,2020,Nishant rao
Basic home loan,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in india,",Fintech,2020,2020,Picus capital
Ketos,None,18000000.0,San francisco,Ketos provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,AI,2020,2015,Citi ventures
Sugar cosmetics,Debt,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,Cosmetics,2020,2012,A91 partners
Signzy,None,5400000.0,Bangalore,It is creating 'building blocks for a digital trust system.,Fintech,2020,2015,Gennext ventures
Ahaguru,Series A,0.0,Chennai,"It is conducting iit jee coach for physics, math and chemistry easily.",Edtech,2020,2012,Anand mahindra
Tekion,Series C,150000000.0,San ramon,It is a cloud-built platform with advanced machine learning and ai capabilities for a personalized and seamless consumer experience.,AI,2020,2016,Alliance ventures
Brighteye ventures,None,5400000.0,Paris,Education technology venture capital firm.,Edtech,2020,2017,Tandem
Ezerx,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,Medtech,2020,2018,Indian oil corporation
Vitaltech,Seed,3000000.0,Plano,"Vitaltech is a develop technologies that empower patients to better care for their safety,",Heathtech,2020,2018,Tech mahindra
Genius teacher,None,2000000.0,Mumbai,"Genius teacher creates engaging educational content, delivers fun learning experience to the students",Edtech,2020,2016,Whiteboard capital
Ultraviolette automotive,Series B,4000000.0,Bangalore,Ultraviolette automotive is a technology startup working on electric two-wheelers and energy infrastructure.,Automobiles,2020,2014,Tvs motor company
Tring,None,0.0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",Social media,2020,2019,Sujeet kumar
Rare planet,Series B,400000.0,Kolkata,Rare planet sells handicrafts made by local artisans.,Retail startup,2020,2015,Venture catalysts
Goodgamer,Seed,2500000.0,Bangalore,Goodgamer is india's first daily fantasy sports and true esports gaming platform.,Gaming,2020,2020,None
Innaccel,Series B,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global emerging markets.",Medtech,2020,2012,Mount judi ventures
Tiliter,None,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,Retail,2020,2017,Angellist
Slintel,None,4200000.0,San francisco,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",Sles and marketing,2020,2016,Accel
Soolegal,None,4000000.0,New delhi,"Soolegal is a global integrated directory of lawyers, legal aid organizations, and law firms.",Legaltech,2020,2015,None
Hobspace,Seed,200000.0,Mumbai,India's activity hub for kids,Edtech,2020,2019,Artha venture
Supplynote,Seed,500000.0,Noida,Supplynote is india's leading procurement platform with a unique stack of saas and e-commerce to solve the procurement problem,Saas,2020,2015,Mox
Hire me car,Seed,0.0,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Car service,2020,,None
Shopup,Series A,22000000.0,Bangaldesh,"Shopup provides easy access to b2b sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",E-commerce,2020,2017,Flourish ventures
Harmonizer india,None,0.0,Bangalore,"Energy-efficient solutions based on the artificial intelligence, machine learning and internet of things technology,",Tech startup,2020,2019,Kapil dev
Zomato,None,52000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,Foodtech,2020,2008,Kora
Dukaan,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,Tech startup,2020,2020,Lightspeed
Credr,None,2000000.0,Mumbai,India’s only 100% inspected and certified used bikes marketplace.,Bike marketplace,2020,2014,Eight roads ventures
Satyukt,Seed,500000.0,Bangalore,An agritech company that provides business to business (b2b) agricultural data,Agri tech,2020,2018,Nabventures
Racenergy,None,0.0,Hyderabad,Racenergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,Automobiles,2020,2018,Growx ventures
Tread,Seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'fit india' initiative by offering holistic and affordable workouts.,Fitness startup,2020,2020,Better capital
Anveshan,Seed,100000.0,Bangalore,Provide quality and healthy food products,Foodtech,2020,2019,Titan capital
Teamonk,Series B,900000.0,Bangalore,India's finest specialty tea company.,Food and Beverages,2020,2016,Lead angels network
Fleetx,Series B,3000000.0,Gurugram,"Fleetx is an intelligent data platform which uses ai, machine learning, sensors and predictive analytics to help fleet owners.",Tech startup,2020,2017,Rohit bansal
Renewate,Seed,0.0,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Real estate,2020,2018,Real estate accelerator program
Tango eye,Seed,0.0,Chennai,Retail video analytics saas product,Saas,2020,2018,Riso investments
Rare planet,Series B,0.0,Kolkata,Rare planet sells handicrafts made by local artisans.,Reatil startup,2020,2015,Venture catalysts
Avataa me,Series A,7000000.0,Bangalore,Avataar.me is a deep-tech 3d ar platform which delivers personalized fashion discovery experience to users on mobile devices.,Ar platform,2020,2014,Sequoia capital india
Arrival,None,118000000.0,London,Arrival is a technology company that specializes in developing electric vehicles.,Ev startup,2020,2015,Ups ventures
Cover genius,None,15000000.0,Sydney,Cover genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,Fintech,2020,2014,King river capital
Phononic vibes,None,2300000.0,Milano,"Phononic vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",Deeptech,2020,2018,None
Mikelegal,Seed,0.0,Gurugram,Mikelegal is an ai powered legal associate that aims to build an ecosystem of legal tools,Legaltech,2020,2017,Sosv
Clair,Seed,4500000.0,New york,Clair is a social fintech that provides instant pay access as a service for human capital management and gig platforms.,Fintech,2020,2019,Upfront ventures
Gourmet garden,None,0.0,Palmwoods,Gourmet garden is a global market leader in chilled convenient packaged herbs.,Consumer goods,2020,1999,Advent partners
Miko,Series B,3000000.0,Mumbai,"Miko is an advanced robotics startup founded by three iit bombay post-graduates on the pillars of robotics, ai & iot.",AI,2020,2015,Stride ventures
Razorpay,Series D,100000000.0,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",Fintech,2020,2014,Tiger global management
Ninjacart,None,30000000.0,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",Food and Beverages,2020,2015,Syngenta ventures
Wow! momo,Debt,5000000.0,Kolkata,Wow! momo is a chain of fast-food restaurants that specializes in momos.,Food and Beverages,2020,2008,Tiger global management
Pepper content,Series A,4200000.0,Mumbai,Pepper content is a content-mediation platform that connects talented writers to organisations that require content.,Content marketplace,2020,2017,Alok mittal
Livspace,Debt,4000000.0,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",Interior design,2020,2014,Mercer investments
Acculi labs,Seed,600000.0,Bangalore,Acculi labs is a clinical grade smartphone based diagnostic tool,Healthcare,2020,2017,Startup basket.
Your md,None,25000000.0,London,Your.md is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,Healthcare,2020,2012,Orkla ventures
Antaios,None,11000000.0,France,Developer of memory-based technology intended to solve issues of advanced computing.,Tech company,2020,2016,None
Unnati,Series B,1700000.0,Noida,A helping hand to the farming community through artificial intelligence,Agritech,2020,2017,Nabventures
Disprz,Series B,1600000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",Edtech,2020,2015,Xseed partners
Uni,Seed,18500000.0,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Fintech,2020,,Lightspeed india partners
Credit wise capital,Seed,6000000.0,Mumbai,Creditwise capital is a consumer finance company.,Fintech,2020,1994,Venture catalysts
Chargebee,Series D,55000000.0,San francisco,Chargebee is a pci level 1 certified subscription and recurring billing system for saas and subscription based ecommerce businesses,Saas,2020,2011,Accel
Reliance retail ventures ltd,None,70000000000.0,Mumbai,"Reliance retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Retail,2020,2006,Silver lake
Winuall,None,2000000.0,Bangalore,"Winuall specializes in the fields of e-learning, online quizzes, and tests, study material for competitive exams.",Edtech,2020,2019,Amit lakhotia
Genrobotics,None,300000.0,Trivandrum,Genrobotic specializes in powered robotic exoskeletons with rc controlled humanoid robotic systems and artificial intelligence.,AI,2020,2015,Unicorn india ventures
Livve,Seed,1500000.0,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Rental space,2020,2015,None
Ergos,Series A,5000000.0,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,Agritech,2020,2012,Aavishkaar venture capital
Krishitantra,Seed,1000000.0,Hyderabad,Krishi-tantra is an agri-iot startup building farm automation for controlled agricultural environment.,Soil-tech,2020,2017,Nabventures
Pakkaprofile,Seed,0.0,Bangalore,"Pakkaprofile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",Recruitment startup,2020,2019,Java capital
Monet networks,Seed,500000.0,Irvine,Monet networks using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,AI,2020,2014,Senseai ventures
Unocoin,Series A,0.0,Tumkur,"Unocoin is an indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",Fintech,2020,2013,Digital finance group
Pesto,None,0.0,New delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,Edtech,2020,2017,Sriharsha majety
Nirogstreet,Series B,2000000.0,Gurugram,Nirogstreet is an ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ayurveda tech,2020,2016,Wavemaker partners
Bambrew,Seed,0.0,Bangalore,Bambrew is an online shop for reusable bamboo straws.,Packaging solution startup,2020,2018,Upsparks
Omnify,Series B,0.0,San francisco,Omnify is a global saas platform for small services business,Saas,2020,2016,Saurabh arora
Fanball xi,Seed,1000000.0,New delhi,The gaming company mostly focused on fantasy football games,Gaming,2020,,Foxhog ventures
Treebo hotels,None,6000000.0,Bangalore,"Treebo is india's tech-enabled, asset-light affordable accommodation brand.",Hospitality,2020,2015,Ramesh mangaleswaran
Gps renewables,Series A,3000000.0,Bangalore,To solve the urban waste problem by utilising local technologies and business models.,Cleantech,2020,2010,Triodos
Public,None,30000000.0,New delhi,Video-led social app public provides users with a platform to share and view important hyperlocal videos,Social media,2020,2019,Lee fixel's addition
Legal salah,Seed,1000000.0,Kolkata,Legal salah is bringing the provision of imparting value based legal and consultancy services to the user.,Legaltech,2020,2015,I2i capitals
Fanplay,Seed,0.0,New delhi,Fanplay technologies operates as a real-money gaming startup.,Gaming,2020,2018,Core91 fund
Ecostp,None,19000000.0,Bangalore,Eco friendly zero power zero maintenance sewage treatment plant in india.,Sanitation solutions,2020,2017,Terwilliger centre
Coralogix,Series B,25000000.0,San francisco,Coralogix is a log analytics saas platform that improves the delivery and maintenance process for software providers.,Saas,2020,2013,2b angels
Equiwatt,None,300000.0,Newcastle upon tyne,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,Tech company,2020,2015,Rising stars
Reliance retail ventures,None,800000000.0,Mumbai,"Reliance retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",E-commerce,2020,2006,General atlantic
Zhangmen,None,400000000.0,Shanghai,Zhangmen is an online tutoring platform provides tutoring courses to students.,Edtech,2020,2005,Cicc alpha
Agrowave,None,500000.0,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Agritech,2020,2017,Sekhar puli
